230,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/09/10,"Centro de Formação de Osasco",18
231,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/21/10,"Centro de Formação de Osasco",19
232,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",20
233,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/23/10,"Centro de Formação de Osasco",21
234,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/09/10,"Centro de Formação de Osasco",22
235,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",23
236,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",24
237,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/09/10,"Centro de Formação de Osasco",25
238,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/22/10,"Centro de Formação de Osasco",29
239,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",10/04/10,"Centro de Formação de Osasco",26
240,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",05/24/10,"Centro de Formação de Osasco",27
241,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",10/04/10,"Centro de Formação de Osasco",28
242,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",26
243,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/09/10,"Centro de Formação de Osasco",30
244,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",08/03/10,"Centro de Formação de Osasco",31
245,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",32
246,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",05/24/10,"Centro de Formação de Osasco",33
247,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",10/04/10,"Centro de Formação de Osasco",34
248,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",11/03/10,"Centro de Formação de Osasco",35
249,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",09/08/10,"Centro de Formação de Osasco",36
250,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",11/04/10,"Centro de Formação de Osasco",37
251,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/21/10,"Centro de Formação de Osasco",37
252,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",11/04/10,"Centro de Formação de Osasco",39
253,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",11/03/10,"Centro de Formação de Osasco",37
254,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",11/04/10,"Centro de Formação de Osasco",40
255,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/22/10,"Centro de Formação de Osasco",41
256,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 1º ano",06/23/10,"Centro de Formação de Osasco",42
257,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",10/06/10,"Centro de Formação de Osasco",01
258,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",10/06/10,"Centro de Formação de Osasco",02
259,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",08/02/10,"Centro de Formação de Osasco",03
260,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",08/02/10,"Centro de Formação de Osasco",04
